exchange,symbol,name,sector,marketcap,date,volume,open,close,low,high
NASDAQ,MSFT,Microsoft Corporation,Technology,$391B,17-Apr-2015,41912400,41.67,41.61,41.16,41.74
AMEX,ISDR,Issuer Direct Corporation,Miscellaneous,$21.91M,17-Apr-2015,11000,7.53,7.3,7.05,7.59
AMEX,NYV,Nuveen New York Municipal Value Fund 2,n/a,$35.67M,17-Apr-2015,3800,14.96,14.96,14.82,14.98
AMEX,NYH,Eaton Vance New York Municipal Bond Fund II,n/a,$31.86M,17-Apr-2015,600,12.62,12.62,12.61,12.62
AMEX,GV,Goldfield Corporation (The),Basic Industries,$61.59M,17-Apr-2015,64900,1.84,1.8,1.78,1.86
AMEX,XPL,Solitario Exploration & Royalty Corp,Basic Industries,$32.97M,17-Apr-2015,71700,0.77,0.77,0.76,0.78
AMEX,AMCO,"Armco Metals Holdings, Inc.",Consumer Durables,$7.17M,17-Apr-2015,31300,1.05,1.07,1.05,1.09
AMEX,MAB,Eaton Vance Massachusetts Municipal Bond Fund,n/a,$26.67M,17-Apr-2015,3400,14.59,14.61,14.58,14.61
AMEX,EVI,"EnviroStarm, Inc.",Consumer Services,$16.64M,17-Apr-2015,3000,3.16,3.24,3.16,3.24
AMEX,EVJ,Eaton Vance New Jersey Municipal Income Trust,n/a,$58.32M,17-Apr-2015,4000,12.51,12.5,12.38,12.53
AMEX,EVM,Eaton Vance California Municipal Bond Fund,n/a,$258.5M,17-Apr-2015,45800,12.29,12.35,12.25,12.39
AMEX,EVO,Eaton Vance Ohio Municipal Income Trust,n/a,$42M,17-Apr-2015,10600,14,13.82,13.77,14
AMEX,EVY,Eaton Vance New York Municipal Income Trust,n/a,$75.56M,17-Apr-2015,3300,13.9,13.91,13.9,13.94
AMEX,EVP,Eaton Vance Pennsylvania Municipal Income Trust,n/a,$33.3M,17-Apr-2015,4200,12.29,12.24,12.24,12.34
AMEX,EVV,Eaton Vance Limited Duration Income Fund,n/a,$1.67B,17-Apr-2015,280800,14.45,14.43,14.39,14.48
AMEX,LSG,Lake Shore Gold Corp,Basic Industries,$374.47M,17-Apr-2015,182900,0.94,0.93,0.92,0.95
AMEX,GRC,Gorman-Rupp Company (The),Capital Goods,$754.47M,17-Apr-2015,44500,29.11,28.69,28.51,29.39
AMEX,GRH,"GreenHunter Resources, Inc.",Basic Industries,$27.68M,17-Apr-2015,141400,0.91,0.83,0.79,0.91
AMEX,NOM,Nuveen Missouri Premium Income Municipal Fund,n/a,$35.82M,17-Apr-2015,15600,15.46,15.55,15.46,15.74
AMEX,NOG,"Northern Oil and Gas, Inc.",Energy,$504.25M,17-Apr-2015,1066000,8.99,8.8,8.8,9.2
AMEX,SPP,Sanchez Production Partners LLC,Energy,$42.04M,17-Apr-2015,7000,2.3,2.28,2.25,2.3
AMEX,CTP,CTPartners Executive Search Inc.,Technology,$47.26M,17-Apr-2015,122600,3.8,3.83,3.64,3.86
AMEX,CTF,Nuveen Long/Short Commodity Total Return Fund,n/a,$279.4M,17-Apr-2015,23300,16.46,16.47,16.45,16.48
AMEX,CTO,Consolidated-Tomoka Land Co.,Finance,$338.83M,17-Apr-2015,16800,56.64,56.66,56.64,58.2
AMEX,ORM,"Owens Realty Mortgage, Inc.",Consumer Services,$148.06M,17-Apr-2015,26900,14.1,13.72,13.68,14.1
AMEX,DPW,Digital Power Corporation,Capital Goods,$7.19M,17-Apr-2015,3900,0.86,0.85,0.85,0.86
AMEX,ONP,"Orient Paper, Inc.",Consumer Durables,$19.71M,17-Apr-2015,33300,1.69,1.68,1.67,1.69
AMEX,OGEN,"Oragenics, Inc.",Health Care,$26.87M,17-Apr-2015,13700,0.9,0.88,0.87,0.9
AMEX,CFD,Nuveen Diversified Commodity Fund,n/a,$112.91M,17-Apr-2015,37000,12.17,12.16,12.14,12.21
AMEX,CFP,Cornerstone Progressive Return Fund,n/a,$250.08M,17-Apr-2015,81600,15.98,15.95,15.81,16
AMEX,EMXX,Eurasian Minerals Inc.,Basic Industries,$54.69M,17-Apr-2015,27400,0.68,0.71,0.68,0.71
AMEX,PRK,Park National Corporation,Finance,$1.32B,17-Apr-2015,22100,86.88,85.63,85.63,86.88
AMEX,JOB,"General Employment Enterprises, Inc.",Technology,$21.24M,17-Apr-2015,17200,0.8,0.85,0.8,0.88
AMEX,DGSE,"DGSE Companies, Inc.",Consumer Services,$19.92M,17-Apr-2015,105500,1.52,1.52,1.48,1.7
AMEX,APP,American Apparel Inc,Finance,$160.62M,17-Apr-2015,674800,0.68,0.67,0.64,0.69
AMEX,APT,"Alpha Pro Tech, Ltd.",Health Care,$49.59M,17-Apr-2015,47900,2.15,2.17,2.13,2.17
AMEX,API,"Advanced Photonix, Inc.",Technology,$15.7M,17-Apr-2015,45100,0.38,0.4,0.38,0.4
AMEX,PFNX,Pfenex Inc.,Health Care,$163.02M,17-Apr-2015,153000,16,15.12,15.12,16.31
AMEX,HMG,"HMG/Courtland Properties, Inc.",Consumer Services,$11.74M,17-Apr-2015,100,12,12,12,12
AMEX,DLA,"Delta Apparel, Inc.",Consumer Non-Durables,$69.17M,17-Apr-2015,12100,11.99,11.96,11.91,12.14
AMEX,SSY,"SunLink Health Systems, Inc.",Health Care,$12.65M,17-Apr-2015,2100,1.58,1.58,1.58,1.58
AMEX,AST,"Asterias Biotherapeutics, Inc.",Health Care,$118.97M,17-Apr-2015,176000,10.5,10.05,9.75,10.5
AMEX,BTX,"BioTime, Inc.",Health Care,$330.93M,17-Apr-2015,654200,5.38,5.22,5.08,5.4
AMEX,BTG,B2Gold Corp,Basic Industries,$1.63B,17-Apr-2015,2034900,1.58,1.56,1.55,1.62
AMEX,SSN,Samson Oil & Gas Limited,Energy,$33.49M,17-Apr-2015,31800,1.58,1.51,1.49,1.58
AMEX,BTI,British American Tobacco p.l.c.,Consumer Non-Durables,$103.93B,17-Apr-2015,276500,111.58,111.65,111.14,111.75
AMEX,WYY,WidePoint Corporation,Technology,$120.65M,17-Apr-2015,195200,1.46,1.46,1.42,1.46
